firstname,lastname,person_email,company_name,company_domain,company_email,industry,employees_count,employees_bucket,founded_year,country
Shelby,Watson,shelby.watson@robles.com,Thompson Inc,robles.com,info@robles.com,Expedite,4156,1000+,2011,United Arab Emirates
Tamara,Harris,tamara.harris@villanueva.com,"Foster, Schultz and Johnson",villanueva.com,info@villanueva.com,Synthesize,1075,1000+,1982,Palau
Maria,Torres,maria.torres@schneider.com,Wilcox-Schwartz,schneider.com,info@schneider.com,Monetize,4660,1000+,2014,Australia
David,Vargas,david.vargas@mueller.com,"Lopez, Schneider and Faulkner",mueller.com,info@mueller.com,Deliver,1978,1000+,1974,Christmas Island
Cory,Hughes,cory.hughes@jones.com,Wilson Group,jones.com,info@jones.com,Synthesize,2696,1000+,1979,Croatia
Paige,Butler,paige.butler@santana.info,Wells-Reyes,santana.info,info@santana.info,Engineer,1569,1000+,1987,American Samoa
Jordan,Cole,jordan.cole@case-woods.com,Eaton-Reynolds,case-woods.com,info@case-woods.com,Morph,3509,1000+,1978,Botswana
Sharon,Sanchez,sharon.sanchez@mueller.com,"Lopez, Schneider and Faulkner",mueller.com,info@mueller.com,Deliver,1978,1000+,1974,Christmas Island
Jonathan,Anderson,jonathan.anderson@morales.info,Rivera and Sons,morales.info,info@morales.info,Utilize,1951,1000+,2009,Thailand
Joseph,Chapman,joseph.chapman@barnes.com,Marks-Allen,barnes.com,info@barnes.com,Strategize,829,100–999,1973,Gibraltar
Paul,Santiago,paul.santiago@haley.com,Hughes-Hall,haley.com,info@haley.com,Leverage,1689,1000+,1983,Taiwan
Benjamin,Warren,benjamin.warren@daniel.net,"Garcia, Taylor and Thomas",daniel.net,info@daniel.net,Embrace,3176,1000+,1983,France
Brenda,Lester,brenda.lester@cook-torres.com,"Bates, Pitts and Harris",cook-torres.com,info@cook-torres.com,Monetize,4062,1000+,1977,Bermuda
Elizabeth,Castillo,elizabeth.castillo@williams.com,Kennedy-Lewis,williams.com,info@williams.com,Exploit,888,100–999,2022,Georgia
Zachary,Johnston,zachary.johnston@gardner.com,Bishop Group,gardner.com,info@gardner.com,Utilize,378,100–999,2002,Japan
Javier,Ellis,javier.ellis@mueller.com,"Lopez, Schneider and Faulkner",mueller.com,info@mueller.com,Deliver,1978,1000+,1974,Christmas Island
Alan,White,alan.white@pierce-hunt.org,Martin-Turner,pierce-hunt.org,info@pierce-hunt.org,Morph,4381,1000+,2013,Martinique
James,Anderson,james.anderson@morales.info,Rivera and Sons,morales.info,info@morales.info,Utilize,1951,1000+,2009,Thailand
Earl,Blackwell,earl.blackwell@williams-tanner.info,Martinez Inc,williams-tanner.info,info@williams-tanner.info,E-enable,4380,1000+,1972,Nicaragua
Steven,Ferguson,steven.ferguson@miller.com,Davis Inc,miller.com,info@miller.com,Orchestrate,1052,1000+,2020,Northern Mariana Islands
Ronald,Holt,ronald.holt@barrett.biz,Ramirez-Shah,barrett.biz,info@barrett.biz,Optimize,3653,1000+,2009,Cote d'Ivoire
David,Rogers,david.rogers@cook-torres.com,"Bates, Pitts and Harris",cook-torres.com,info@cook-torres.com,Monetize,4062,1000+,1977,Bermuda
Mary,Campbell,mary.campbell@fernandez.biz,"Murray, Lyons and Erickson",fernandez.biz,info@fernandez.biz,Syndicate,2948,1000+,2006,Canada
Megan,Walker,megan.walker@salinas.com,Garcia-Rios,salinas.com,info@salinas.com,Facilitate,899,100–999,2010,American Samoa
James,Davis,james.davis@owens-harris.com,Williams-Johnson,owens-harris.com,info@owens-harris.com,Visualize,2027,1000+,2018,Togo
Linda,Hammond,linda.hammond@chen.net,"Palmer, Lopez and Friedman",chen.net,info@chen.net,Deploy,875,100–999,2012,Samoa
Sarah,Stephenson,sarah.stephenson@leon.net,Barber Inc,leon.net,info@leon.net,Iterate,3938,1000+,2013,Puerto Rico
Kathryn,Curry,kathryn.curry@robinson-tate.org,"Gomez, Sparks and Lewis",robinson-tate.org,info@robinson-tate.org,Transition,1979,1000+,1995,Bahamas
Brandy,Wang,brandy.wang@miller.com,Davis Inc,miller.com,info@miller.com,Orchestrate,1052,1000+,2020,Northern Mariana Islands
Stephanie,Woodward,stephanie.woodward@bryant-brown.com,Collins PLC,bryant-brown.com,info@bryant-brown.com,Implement,2835,1000+,2013,Antarctica (the territory South of 60 deg S)
Karen,Craig,karen.craig@owens-harris.com,Williams-Johnson,owens-harris.com,info@owens-harris.com,Visualize,2027,1000+,2018,Togo
Ryan,Williams,ryan.williams@kelly.com,Castillo Inc,kelly.com,info@kelly.com,Syndicate,2200,1000+,1992,Andorra
Vanessa,Robinson,vanessa.robinson@davis.org,"Thomas, Moore and Peters",davis.org,info@davis.org,Innovate,2173,1000+,2025,Serbia
Danielle,Romero,danielle.romero@andrade-adams.com,Morgan-Johnson,andrade-adams.com,info@andrade-adams.com,Exploit,1054,1000+,1989,Sudan
Joshua,Martin,joshua.martin@marquez.net,Avila-Mills,marquez.net,info@marquez.net,Maximize,1259,1000+,2006,Tunisia
Jessica,Riley,jessica.riley@kelly.com,Castillo Inc,kelly.com,info@kelly.com,Syndicate,2200,1000+,1992,Andorra
Jenna,Mccoy,jenna.mccoy@hicks.com,"Reyes, Sims and Gillespie",hicks.com,info@hicks.com,Engineer,2319,1000+,2019,Maldives
Gary,Holt,gary.holt@li.com,"Carter, Jones and Nichols",li.com,info@li.com,Leverage,4142,1000+,2015,Qatar
Nathan,Shepherd,nathan.shepherd@alexander.com,"Grant, Mayo and Cline",alexander.com,info@alexander.com,Innovate,3752,1000+,1975,Chad
Kristin,Espinoza,kristin.espinoza@ruiz.com,Collins and Sons,ruiz.com,info@ruiz.com,Transform,73,1–99,2016,Yemen
Maria,Hernandez,maria.hernandez@ryan.com,Osborn-Ortiz,ryan.com,info@ryan.com,Unleash,1940,1000+,1985,Faroe Islands
Todd,Rodriguez,todd.rodriguez@marquez.net,Avila-Mills,marquez.net,info@marquez.net,Maximize,1259,1000+,2006,Tunisia
Dana,Lara,dana.lara@clark-owens.com,"Johnson, Wilson and Chen",clark-owens.com,info@clark-owens.com,Incentivize,2589,1000+,1991,Guadeloupe
Laura,Miles,laura.miles@mejia.com,"Murphy, Parker and Buckley",mejia.com,info@mejia.com,Generate,3469,1000+,1982,Kazakhstan
Anna,Fowler,anna.fowler@hernandez-luna.com,Wilson-Johnson,hernandez-luna.com,info@hernandez-luna.com,Scale,86,1–99,1988,Myanmar
Derrick,Gutierrez,derrick.gutierrez@lopez.com,Lawrence Inc,lopez.com,info@lopez.com,Implement,4290,1000+,1995,Guatemala
Karen,Bell,karen.bell@lopez.com,Lawrence Inc,lopez.com,info@lopez.com,Implement,4290,1000+,1995,Guatemala
Sean,Scott,sean.scott@case-woods.com,Eaton-Reynolds,case-woods.com,info@case-woods.com,Morph,3509,1000+,1978,Botswana
Justin,Johnson,justin.johnson@chen.net,"Palmer, Lopez and Friedman",chen.net,info@chen.net,Deploy,875,100–999,2012,Samoa
Joshua,Moore,joshua.moore@chandler-tucker.com,Jackson-Brown,chandler-tucker.com,info@chandler-tucker.com,Utilize,644,100–999,2023,Angola
Savannah,Hall,savannah.hall@parker-gillespie.com,Wade-Morris,parker-gillespie.com,info@parker-gillespie.com,Re-contextualize,540,100–999,2014,Cambodia
Hector,Whitehead,hector.whitehead@jordan.com,"Ryan, Lambert and Elliott",jordan.com,info@jordan.com,Monetize,3521,1000+,2010,Algeria
James,Sanchez,james.sanchez@mcintosh-walton.biz,Simpson Inc,mcintosh-walton.biz,info@mcintosh-walton.biz,Productize,1027,1000+,2007,Togo
Jason,Lozano,jason.lozano@ward.com,Armstrong-Hernandez,ward.com,info@ward.com,Engage,3160,1000+,1994,Armenia
